FOT_RT,,FOT_35C,,FOT_45C,,FOT_55C,,Convert to Abs("FOT_RT"):FOT_RT,,Convert to Abs("FOT_35C"):FOT_35C,,Convert to Abs("FOT_45C"):FOT_45C,,Convert to Abs("FOT_55C"):FOT_55C,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
2430.63208,0.380872339,2430.63208,0.4369947612,2430.63208,0.4908081591,2430.63208,0.5036478639,2430.63208,2.419220686,2430.63208,2.359523773,2430.63208,2.30908823,2430.63208,2.29787302,
2429.965088,0.3776608109,2429.965088,0.435012728,2429.965088,0.4801482558,2429.965088,0.5022954941,2429.965088,2.422898054,2429.965088,2.361498117,2429.965088,2.318624735,2429.965088,2.299040794,
2429.298096,0.3893189132,2429.298096,0.4402145147,2429.298096,0.4937585592,2429.298096,0.5015953183,2429.298096,2.409694433,2429.298096,2.35633564,2429.298096,2.306485415,2429.298096,2.299646616,
2428.631104,0.3785541654,2428.631104,0.440758884,2428.631104,0.484401077,2428.631104,0.5054966211,2428.631104,2.421871901,2428.631104,2.35579896,2428.631104,2.314794779,2428.631104,2.296281815,
2427.964111,0.3844273388,2427.964111,0.4497087896,2427.964111,0.492975533,2427.964111,0.4984886944,2427.964111,2.41518569,2427.964111,2.347068548,2427.964111,2.307174683,2427.964111,2.302344799,
2427.297119,0.3842187226,2427.297119,0.431315273,2427.297119,0.4831331372,2427.297119,0.5043698549,2427.297119,2.415421486,2427.297119,2.36520505,2427.297119,2.315933228,2427.297119,2.297250986,
2426.629883,0.3865242898,2426.629883,0.4403259754,2426.629883,0.4885659516,2426.629883,0.5025796294,2426.629883,2.4128232,2426.629883,2.356225729,2426.629883,2.31107688,2426.629883,2.298795223,
2425.962891,0.3855535984,2425.962891,0.4395248294,2425.962891,0.4912568629,2425.962891,0.5040159225,2425.962891,2.413915157,2425.962891,2.357016563,2425.962891,2.308691263,2425.962891,2.297555685,
2425.295898,0.3861724734,2425.295898,0.4452445507,2425.295898,0.4905694723,2425.295898,0.4979149401,2425.295898,2.413218737,2425.295898,2.351401329,2425.295898,2.309299469,2425.295898,2.302844763,
2424.628906,0.3878737092,2424.628906,0.4352484941,2424.628906,0.4922865033,2424.628906,0.4980277717,2424.628906,2.411309719,2424.628906,2.361262798,2424.628906,2.307782173,2424.628906,2.302746534,
2423.961914,0.3815101981,2423.961914,0.4428432882,2423.961914,0.4884752333,2423.961914,0.5024987459,2423.961914,2.418493748,2423.961914,2.35374999,2423.961914,2.311157465,2423.961914,2.29886508,
2423.294922,0.3874710202,2423.294922,0.4467636943,2423.294922,0.487514317,2423.294922,0.5058589578,2423.294922,2.411760807,2423.294922,2.34992218,2423.294922,2.312012672,2423.294922,2.295970678,
2422.62793,0.3837015629,2422.62793,0.4412347376,2422.62793,0.4921624064,2422.62793,0.5033175945,2422.62793,2.416006327,2422.62793,2.355330229,2422.62793,2.307891607,2422.62793,2.29815793,
2421.960938,0.3859532475,2421.960938,0.4364483953,2421.960938,0.4842343628,2421.960938,0.4989095032,2421.960938,2.413465261,2421.960938,2.360067129,2421.960938,2.314944267,2421.960938,2.301978111,
2421.293945,0.3862864673,2421.293945,0.4398566186,2421.293945,0.4891836643,2421.293945,0.5046861768,2421.293945,2.413090467,2421.293945,2.356688976,2421.293945,2.31052804,2421.293945,2.296978712,
2420.626953,0.383744359,2420.626953,0.4469868243,2420.626953,0.4881580472,2420.626953,0.4996020198,2420.626953,2.415957928,2420.626953,2.349705219,2420.626953,2.311439514,2420.626953,2.301375866,
2419.959961,0.3895225823,2419.959961,0.436504662,2419.959961,0.4854952395,2419.959961,0.5035747886,2419.959961,2.409467459,2419.959961,2.360011101,2419.959961,2.313815117,2419.959961,2.297935963,
2419.292969,0.3830882907,2419.292969,0.4461440146,2419.292969,0.4931628704,2419.292969,0.4937475026,2419.292969,2.416701078,2419.292969,2.350524902,2419.292969,2.307009697,2419.292969,2.30649519,
2418.625977,0.387134105,2418.625977,0.445502758,2418.625977,0.4826660752,2418.625977,0.5023108125,2418.625977,2.412138462,2418.625977,2.351149559,2418.625977,2.316353321,2418.625977,2.299027443,
2417.958984,0.3867180645,2417.958984,0.4429654777,2417.958984,0.4963131249,2417.958984,0.5004134774,2417.958984,2.412605524,2417.958984,2.353630066,2417.958984,2.30424428,2417.958984,2.300671101,
2417.291992,0.3898076415,2417.291992,0.4393408597,2417.291992,0.4948198795,2417.291992,0.5053399205,2417.291992,2.409149647,2417.291992,2.357198477,2417.291992,2.305552959,2417.291992,2.296416283,
2416.625,0.3917160332,2416.625,0.4376870692,2416.625,0.4837710857,2416.625,0.5027810931,2416.625,2.407028675,2416.625,2.358836412,2416.625,2.315360069,2416.625,2.298620939,
2415.958008,0.3810302913,2415.958008,0.4432062507,2415.958008,0.494033277,2415.958008,0.4968147278,2415.958008,2.419040442,2415.958008,2.353394032,2415.958008,2.306243896,2415.958008,2.30380559,
2415.291016,0.3838087022,2415.291016,0.4393737316,2415.291016,0.4906185865,2415.291016,0.5066802502,2415.291016,2.41588521,2415.291016,2.357165813,2415.291016,2.309256077,2415.291016,2.295265913,
2414.624023,0.3835944831,2414.624023,0.4444182813,2414.624023,0.4919736981,2414.624023,0.5063302517,2414.624023,2.416127682,2414.624023,2.352208138,2414.624023,2.308058023,2414.624023,2.295566082,
2413.957031,0.3866043091,2413.957031,0.4451734424,2413.957031,0.4908213317,2413.957031,0.4995316267,2413.957031,2.412733316,2413.957031,2.351470709,2413.957031,2.309076548,2413.957031,2.301436901,
